iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,g_exact_avg_1,c_avg,g_avg_0,g_avg_1,c_pi_exact,g_pi_exact_0,g_pi_exact_1,c_pi,g_pi_0,g_pi_1,lambda_0,lambda_1,c_br_exact,g_br_exact_0,g_br_exact_1,c_br,g_br_0,g_br_1
60.0,0.0,0.0,-25.53019149119358,9.77214699833425,40.95006153878361,0.0,0.0,0.0,6.1979346480397615,11.799975318366776,0.07278224270284026,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,-25.369970534356323,9.813194678471588,40.61202665016167,0.0,0.0,0.0,-15.756713124120964,12.276055486711765,20.32993333284556,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,-25.434257708943978,9.996549796040018,40.20434305606023,0.0,0.0,0.0,-29.355775358790925,21.181211967714244,15.335643815872395,0.0,0.0,0.0,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,-25.39787327923674,10.096527593267481,39.812757607416984,0.0,0.0,0.0,-23.14203863738796,16.295151021370216,15.534459791535694,0.0,0.0,0.0,0.7000000000000001,0.5,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,-25.377601232574946,10.03153372485459,39.51951845871338,0.0,0.0,0.0,-24.10046229288184,5.936920014842532,21.045452090386547,0.0,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0
65.0,0.0,0.0,-25.1710738464462,10.268686187497748,39.41099313967837,0.0,0.0,0.0,-11.953321134206277,25.446443796659892,32.46537272143789,0.0,0.0,0.0,0.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,-24.97389169994353,10.384295482343262,38.961760491429814,0.0,0.0,0.0,-12.157052177270018,17.89889964730162,9.761638355274155,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,0.0,-24.924552879325997,10.527254150148853,38.85315485967639,0.0,0.0,0.0,-21.668190718568884,19.962526225317873,31.685183163950228,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,-24.46686923921768,10.699011369137487,38.281935004372144,0.0,0.0,0.0,6.1979346480397615,22.20674504137591,0.01020469898764051,0.0,0.0,0.0,0.1,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
69.0,0.0,0.0,-24.022451791576266,10.829299276298551,37.72747743727456,0.0,0.0,0.0,6.1979346480397615,19.68887696325091,0.02436287463886855,0.0,0.0,0.0,0.2,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,0.0,-23.590731985296035,10.883830783469174,37.19027604305849,0.0,0.0,0.0,6.1979346480397615,14.646504778242186,0.12337984214947077,0.0,0.0,0.0,0.30000000000000004,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,0.0,-23.496085042796377,11.12490829607592,36.983656130408804,0.0,0.0,0.0,-16.87079906782016,28.000334178548208,22.520262244930873,0.0,0.0,0.0,0.4,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,-23.339407614832798,11.19560537912863,36.65517941527326,0.0,0.0,0.0,-12.215310229418737,16.215098275871043,13.333332640649502,0.0,0.0,0.0,0.5,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,0.0,-23.485791974057484,11.253616524090338,36.52780601437054,0.0,0.0,0.0,-34.02546583823511,15.430418961333332,27.35692114937451,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
74.0,0.0,0.0,-23.62005255716951,11.328767067267773,36.360934407820224,0.0,0.0,0.0,-33.421075124347354,16.814756719220384,24.179307129647636,0.0,0.0,0.0,0.7000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
75.0,0.0,0.0,-23.606680952110295,11.390233105532692,36.13952873691722,0.0,0.0,0.0,-22.617182177728072,15.938719937136701,19.75550909009507,0.0,0.0,0.0,0.8,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
76.0,0.0,0.0,-23.46597570601472,11.497451348461091,35.867557092937325,0.0,0.0,0.0,-12.913082248846552,19.538819568091107,15.469683794444721,0.0,0.0,0.0,0.9,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,-23.318543159441564,11.492080467000642,35.77785036585012,0.0,0.0,0.0,-12.113669619881588,11.08389347600651,28.96013910722273,0.0,0.0,0.0,1.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,-22.940126777294367,11.700380733488688,35.3197443129883,0.0,0.0,0.0,6.1979346480397615,27.739501253068195,0.04557824262770348,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,0.0,-22.571290556720516,11.941382259052984,34.87415345269985,0.0,0.0,0.0,6.1979346480397615,30.739501253068195,0.11806635020097628,0.0,0.0,0.0,0.1,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,-22.463433519085108,12.29357189437758,34.61970259660673,0.0,0.0,0.0,-13.942727545888024,40.116553085020584,14.51808496525033,0.0,0.0,0.0,0.2,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
81.0,0.0,0.0,-22.59982985397203,12.158637012035742,34.59831219672487,0.0,0.0,0.0,-33.51153664492578,1.3638464246887625,32.88708020617625,0.0,0.0,0.0,0.30000000000000004,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
82.0,0.0,0.0,-22.654510026581665,12.315226659105258,34.51716518178406,0.0,0.0,0.0,-27.083604007962354,24.99898807173611,27.94425697157791,0.0,0.0,0.0,0.4,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
